23/11/2023 00:28:15,192.168.217.136,24566,8.8.8.8,80,SYN
23/11/2023 00:28:15,192.168.217.136,24567,8.8.8.8,80,SYN
23/11/2023 00:28:15,192.168.217.136,24568,8.8.8.8,80,SYN
23/11/2023 00:28:15,8.8.8.8,80,192.168.217.136,24898,RST_ACK
23/11/2023 00:28:15,8.8.8.8,80,192.168.217.136,24915,RST_ACK
23/11/2023 00:28:15,8.8.8.8,80,192.168.217.136,24914,RST_ACK
23/11/2023 00:28:15,52.183.58.171,443,192.168.217.129,36698,SYN_ACK
23/11/2023 00:28:15,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:28:15,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:28:15,8.8.8.8,80,192.168.217.136,59819,RST
23/11/2023 00:28:15,192.168.217.136,60075,8.8.8.8,3306,FIN_PSH_URG
23/11/2023 00:28:15,192.168.217.136,60075,8.8.8.8,256,FIN_PSH_URG
23/11/2023 00:28:15,192.168.217.136,60075,8.8.8.8,1025,FIN_PSH_URG
23/11/2023 00:29:40,192.168.217.136,24566,8.8.8.8,80,SYN
23/11/2023 00:29:40,192.168.217.136,24567,8.8.8.8,80,SYN
23/11/2023 00:29:40,192.168.217.136,24568,8.8.8.8,80,SYN
23/11/2023 00:29:40,8.8.8.8,80,192.168.217.136,24898,RST_ACK
23/11/2023 00:29:40,8.8.8.8,80,192.168.217.136,24915,RST_ACK
23/11/2023 00:29:40,8.8.8.8,80,192.168.217.136,24914,RST_ACK
23/11/2023 00:29:40,52.183.58.171,443,192.168.217.129,36698,SYN_ACK
23/11/2023 00:29:40,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:29:40,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:29:40,8.8.8.8,80,192.168.217.136,59819,RST
23/11/2023 00:29:40,192.168.217.136,60075,8.8.8.8,3306,FIN_PSH_URG
23/11/2023 00:29:40,192.168.217.136,60075,8.8.8.8,256,FIN_PSH_URG
23/11/2023 00:29:40,192.168.217.136,60075,8.8.8.8,1025,FIN_PSH_URG
23/11/2023 00:34:21,192.168.217.136,24566,8.8.8.8,80,SYN
23/11/2023 00:34:21,192.168.217.136,24567,8.8.8.8,80,SYN
23/11/2023 00:34:21,192.168.217.136,24568,8.8.8.8,80,SYN
23/11/2023 00:34:21,8.8.8.8,80,192.168.217.136,24898,RST_ACK
23/11/2023 00:34:21,8.8.8.8,80,192.168.217.136,24915,RST_ACK
23/11/2023 00:34:21,8.8.8.8,80,192.168.217.136,24914,RST_ACK
23/11/2023 00:34:21,52.183.58.171,443,192.168.217.129,36698,SYN_ACK
23/11/2023 00:34:21,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:34:21,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:34:21,8.8.8.8,80,192.168.217.136,59819,RST
23/11/2023 00:34:21,192.168.217.136,60075,8.8.8.8,3306,FIN_PSH_URG
23/11/2023 00:34:21,192.168.217.136,60075,8.8.8.8,256,FIN_PSH_URG
23/11/2023 00:34:21,192.168.217.136,60075,8.8.8.8,1025,FIN_PSH_URG
23/11/2023 00:35:16,192.168.217.136,24566,8.8.8.8,80,SYN
23/11/2023 00:35:16,192.168.217.136,24567,8.8.8.8,80,SYN
23/11/2023 00:35:16,192.168.217.136,24568,8.8.8.8,80,SYN
23/11/2023 00:35:16,8.8.8.8,80,192.168.217.136,24898,RST_ACK
23/11/2023 00:35:16,8.8.8.8,80,192.168.217.136,24915,RST_ACK
23/11/2023 00:35:16,8.8.8.8,80,192.168.217.136,24914,RST_ACK
23/11/2023 00:35:16,52.183.58.171,443,192.168.217.129,36698,SYN_ACK
23/11/2023 00:35:16,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:35:16,192.168.217.136,55702,158.120.16.202,12975,PSH_ACK
23/11/2023 00:35:16,8.8.8.8,80,192.168.217.136,59819,RST
23/11/2023 00:35:16,192.168.217.136,60075,8.8.8.8,3306,FIN_PSH_URG
23/11/2023 00:35:16,192.168.217.136,60075,8.8.8.8,256,FIN_PSH_URG
23/11/2023 00:35:16,192.168.217.136,60075,8.8.8.8,1025,FIN_PSH_URG
